,번호,지역,나이,성별,독서빈도,선호도,종이책 독서량,전자책 독서량,오디오북 독서량,도서 선택 시 이용정보1,도서 선택 시 이용정보2,도서 입수경로1,도서 입수경로2,종이책 선호분야1,종이책 선호분야2,전자책 선호분야1,전자책 선호분야2,오디오북 선호분야1,오디오북 선호분야2,지난 1년 도서관 이용여부,주이용 도서관1,주이용 도서관2,월 이용빈도,연 이용빈도,이용목적,비이용 이유,코로나 이후 종이책 독서 증감,코로나 이후 전자책 독서 증감,코로나 이후 웹소설 독서 증감,코로나 이후 오디오북 독서 증감,코로나 이후 독서량,코로나 이후 도서관 방문,코로나 이후 전자도서관 이용,전자책 이용이유1,전자책 이용이유2,전자책 이용방식1,전자책 이용방식2
0,1,서울,52,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
1,2,서울,30,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,있다,공공도서관,전문도서관,-1,2,자료조사,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
2,3,서울,47,여,한 달에 한두 번,보통이다,4,0,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,도서관 대여,직접 구입,소설,수필,-1,-1,-1,-1,있다,공공도서관,학교도서관,3,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
3,4,서울,42,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
4,5,서울,54,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
5,6,서울,64,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
6,7,서울,28,여,일주일에 한두 번,보통이다,0,10,0,"인터넷의 책 소개, 광고",SNS 책 소개,직접 구입,선물,-1,-1,소설,"취미, 오락, 여행, 건강",-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,약간 증가,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음,무료로 이용할 수 있어서,다양한 기능들이 편리해서,구매 이용,대여 이용
7,8,서울,39,여,일주일에 한두 번,약간 좋아한다,3,5,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,도서관 대여,직접 구입,자기계발서,재테크,소설,수필,-1,-1,있다,공공도서관,전문도서관,2,-1,독서 및 도서 대출,-1,변함 없음,약간 증가,약간 증가,변함 없음,변함 없음,변함 없음,변함 없음,무료로 이용할 수 있어서,인터넷이나 앱으로 손쉽게 접할 수 있어서,무료 이용,-1
8,9,서울,19,여,일주일에 한두 번,보통이다,3,8,0,"인터넷의 책 소개, 광고","서점, 도서관 등에서 책을 직접 보고",도서관 대여,직접 구입,"어학, 외국어",자기계발서,소설,"철학, 사상, 종교",-1,-1,있다,대학도서관,공공도서관,3,-1,"공부, 학습",-1,약간 감소,약간 증가,약간 증가,변함 없음,약간 증가,약간 증가,변함 없음,무료로 이용할 수 있어서,보관과 휴대가 편리해서,구매 이용,대여 이용
9,10,서울,43,여,일주일에 한두 번,보통이다,4,6,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,도서관 대여,"취미, 오락, 여행, 건강",소설,"취미, 오락, 여행, 건강",소설,-1,-1,있다,공공도서관,학교도서관,2,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,약간 증가,변함 없음,보관과 휴대가 편리해서,무료로 이용할 수 있어서,무료 이용,구매 이용
10,11,서울,54,남,한 달에 한두 번,보통이다,5,0,0,베스트셀러,"유명인, 전문가 추천",직접 구입,-1,"경제, 경영","철학, 사상, 종교",-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 구입해서 읽는다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,매우 감소,변함 없음,-1,-1,-1,-1
11,12,서울,48,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
12,13,서울,47,남,일주일에 한두 번,약간 좋아한다,20,0,0,"신문이나 잡지의 책 소개, 광고","가족, 친구 추천",직접 구입,집에 있는 책,수필,"경제, 경영",-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽을 만한 책이 없다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
13,14,서울,28,남,매일,약간 좋아한다,0,30,0,"유튜브, 책방송 팟캐스트의 책 소개",각종 기관 추천도서,직접 구입,-1,-1,-1,소설,자기계발서,-1,-1,있다,공공도서관,-1,-1,3,전자자료 이용,-1,변함 없음,변함 없음,매우 증가,변함 없음,매우 증가,변함 없음,약간 증가,-1,-1,구매 이용,정기구독 이용
14,15,서울,26,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
15,16,서울,37,남,일주일에 한두 번,보통이다,10,0,0,"유명인, 전문가 추천","서점, 도서관 등에서 책을 직접 보고",직접 구입,선물,수필,"정치, 사회, 시사",-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,-1,-1
16,17,서울,34,여,매일,약간 좋아한다,0,15,0,"인터넷의 책 소개, 광고",베스트셀러,직접 구입,선물,-1,-1,소설,수필,-1,-1,있다,공공도서관,전문도서관,-1,10,전자자료 이용,-1,변함 없음,매우 증가,변함 없음,변함 없음,매우 증가,변함 없음,변함 없음,종이책에 없는 콘텐츠여서,보관과 휴대가 편리해서,구매 이용,대여 이용
17,18,서울,31,여,일주일에 한두 번,약간 좋아한다,0,0,12,"가족, 친구 추천","유튜브, 책방송 팟캐스트의 책 소개",직접 구입,-1,-1,-1,-1,-1,수필,소설,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 구입해서 읽는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,구매 이용,무료 이용
18,19,서울,44,남,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,약간 감소,약간 감소,변함 없음,매우 감소,변함 없음,변함 없음,-1,-1,-1,-1
19,20,서울,27,남,일주일에 한두 번,보통이다,10,0,0,SNS 책 소개,베스트셀러,직접 구입,선물,소설,"취미, 오락, 여행, 건강",-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,개관 시간이 짧다,약간 증가,변함 없음,변함 없음,변함 없음,매우 증가,변함 없음,변함 없음,-1,-1,-1,-1
20,21,서울,56,여,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,개관 시간이 짧다,약간 감소,매우 감소,약간 감소,약간 감소,매우 감소,매우 감소,약간 감소,-1,-1,-1,-1
21,22,서울,58,여,한 달에 한두 번,약간 좋아한다,8,0,0,"유명인, 전문가 추천","가족, 친구 추천",직접 구입,도서관 대여,수필,시,-1,-1,-1,-1,있다,공공도서관,-1,-1,5,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
22,23,서울,64,남,매일,약간 좋아한다,30,0,0,"신문이나 잡지의 책 소개, 광고","서점, 도서관 등에서 책을 직접 보고",직접 구입,직장 비치,"정치, 사회, 시사","역사, 지리",-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,약간 감소,-1,-1,-1,-1
23,24,서울,67,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,유익한 프로그램이 부족하다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
24,25,서울,62,여,몇 달에 한번,보통이다,0,0,10,"가족, 친구 추천",각종 기관 추천도서,직접 구입,-1,-1,-1,-1,-1,"철학, 사상, 종교","취미, 오락, 여행, 건강",없다,-1,-1,-1,-1,-1,읽고 싶은 책은 구입해서 읽는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,구매 이용,무료 이용
25,26,서울,28,여,일주일에 한두 번,많이 좋아한다,0,18,0,"신문이나 잡지의 책 소개, 광고",각종 기관 추천도서,직접 구입,주위 사람에게 대여,-1,-1,소설,자기계발서,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,변함 없음,종이책에 없는 콘텐츠여서,다양한 기능들이 편리해서,구매 이용,대여 이용
26,27,서울,34,남,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,개관 시간이 짧다,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
27,28,서울,45,여,일주일에 한두 번,약간 좋아한다,0,12,0,"유명인, 전문가 추천",각종 기관 추천도서,직접 구입,주위 사람에게 대여,-1,-1,"경제, 경영",소설,-1,-1,없다,-1,-1,-1,-1,-1,집에서 멀다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,인터넷이나 앱으로 손쉽게 접할 수 있어서,다양한 기능들이 편리해서,구매 이용,무료 이용
28,29,서울,57,여,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽을 만한 책이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
29,30,서울,64,여,매일,많이 좋아한다,20,0,0,베스트셀러,"신문이나 잡지의 책 소개, 광고",직접 구입,집에 있는 책,수필,소설,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 구입해서 읽는다,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,-1,-1,-1,-1
30,31,서울,23,여,매일,많이 좋아한다,10,20,0,"인터넷의 책 소개, 광고","신문이나 잡지의 책 소개, 광고",직접 구입,도서관 대여,소설,"어학, 외국어",소설,자기계발서,-1,-1,있다,대학도서관,공공도서관,10,-1,"공부, 학습",-1,약간 증가,매우 증가,매우 증가,변함 없음,변함 없음,변함 없음,변함 없음,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,대여 이용,구매 이용
31,32,서울,44,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
32,33,서울,58,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
33,34,서울,63,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
34,35,서울,36,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
35,36,서울,42,남,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,약간 감소,변함 없음,-1,-1,-1,-1
36,37,서울,56,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
37,38,서울,33,여,일주일에 한두 번,약간 좋아한다,10,5,2,"신문이나 잡지의 책 소개, 광고","인터넷의 책 소개, 광고",도서관 대여,직접 구입,소설,"어학, 외국어",소설,"어학, 외국어",소설,수필,있다,공공도서관,학교도서관,4,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,변함 없음,변함 없음,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,대여 이용,구매 이용
38,39,서울,22,남,일주일에 한두 번,약간 좋아한다,5,9,0,"신문이나 잡지의 책 소개, 광고","인터넷의 책 소개, 광고",도서관 대여,직접 구입,소설,자기계발서,소설,자기계발서,-1,-1,있다,대학도서관,공공도서관,8,-1,"공부, 학습",-1,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,약간 증가,약간 증가,시간과 장소에 관계없이 이용할 수 있어서,보관과 휴대가 편리해서,구매 이용,대여 이용
39,40,서울,63,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,-1,-1,-1,-1
40,41,서울,67,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
41,42,서울,56,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,약간 감소,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
42,43,서울,33,여,일주일에 한두 번,약간 좋아한다,4,7,2,"신문이나 잡지의 책 소개, 광고","텔레비전이나 라디오의 책 소개, 광고",직접 구입,집에 있는 책,소설,"어학, 외국어",소설,"가정, 육아, 요리",수필,시,있다,공공도서관,학교도서관,8,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,보관과 휴대가 편리해서,무료로 이용할 수 있어서,구매 이용,대여 이용
43,44,서울,23,여,일주일에 한두 번,약간 좋아한다,5,7,0,"서점, 도서관 등에서 책을 직접 보고","텔레비전이나 라디오의 책 소개, 광고",직접 구입,집에 있는 책,소설,"어학, 외국어",소설,"가정, 육아, 요리",-1,-1,있다,공공도서관,대학도서관,10,-1,"공부, 학습",-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,약간 증가,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,구매 이용,대여 이용
44,45,서울,62,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,약간 감소,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
45,46,서울,43,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,-1,-1,-1,-1
46,47,서울,48,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
47,48,서울,37,남,일주일에 한두 번,약간 좋아한다,5,8,2,"신문이나 잡지의 책 소개, 광고","인터넷의 책 소개, 광고",직접 구입,집에 있는 책,자기계발서,소설,시,소설,수필,소설,있다,공공도서관,학교도서관,7,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,약간 증가,시간과 장소에 관계없이 이용할 수 있어서,보관과 휴대가 편리해서,대여 이용,정기구독 이용
48,49,서울,47,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,약간 감소,약간 감소,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
49,50,서울,28,남,일주일에 한두 번,약간 좋아한다,4,4,2,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",직접 구입,도서관 대여,소설,"어학, 외국어",소설,"어학, 외국어",소설,"철학, 사상, 종교",있다,공공도서관,학교도서관,8,-1,독서 및 도서 대출,-1,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음,약간 증가,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,대여 이용,구매 이용
50,51,서울,23,남,일주일에 한두 번,약간 좋아한다,5,10,0,"신문이나 잡지의 책 소개, 광고","인터넷의 책 소개, 광고",도서관 대여,직접 구입,소설,자기계발서,소설,자기계발서,-1,-1,있다,대학도서관,공공도서관,8,-1,"공부, 학습",-1,약간 증가,약간 증가,약간 증가,변함 없음,약간 증가,약간 증가,약간 증가,시간과 장소에 관계없이 이용할 수 있어서,보관과 휴대가 편리해서,구매 이용,대여 이용
51,52,서울,56,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,-1,-1,-1,-1
52,53,서울,43,남,전혀 읽지 않음,보통이다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,약간 감소,-1,-1,-1,-1
53,54,서울,32,여,일주일에 한두 번,약간 좋아한다,10,5,2,"신문이나 잡지의 책 소개, 광고","인터넷의 책 소개, 광고",도서관 대여,직접 구입,소설,"역사, 지리",소설,"어학, 외국어",소설,수필,있다,공공도서관,학교도서관,4,-1,독서 및 도서 대출,-1,약간 증가,변함 없음,약간 증가,약간 증가,변함 없음,변함 없음,약간 증가,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,대여 이용,구매 이용
54,55,서울,58,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
55,56,서울,63,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,매우 감소,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
56,57,서울,36,남,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
57,58,서울,43,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
58,59,서울,62,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
59,60,서울,22,여,매일,많이 좋아한다,10,20,0,"인터넷의 책 소개, 광고","신문이나 잡지의 책 소개, 광고",직접 구입,도서관 대여,소설,"어학, 외국어",소설,"어학, 외국어",-1,-1,있다,대학도서관,공공도서관,12,-1,"공부, 학습",-1,약간 증가,매우 증가,매우 증가,변함 없음,변함 없음,변함 없음,약간 증가,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,대여 이용,구매 이용
60,61,서울,56,여,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,-1,-1,-1,-1
61,62,서울,21,여,일주일에 한두 번,약간 좋아한다,6,7,0,"서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",직접 구입,도서관 대여,"어학, 외국어",소설,"어학, 외국어",소설,-1,-1,있다,대학도서관,공공도서관,10,-1,"공부, 학습",-1,약간 증가,변함 없음,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음,보관과 휴대가 편리해서,시간과 장소에 관계없이 이용할 수 있어서,무료 이용,구매 이용
62,63,서울,56,남,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,시간이 없다,약간 감소,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
63,64,서울,23,남,일주일에 한두 번,약간 좋아한다,4,8,3,"인터넷의 책 소개, 광고","신문이나 잡지의 책 소개, 광고",직접 구입,도서관 대여,자기계발서,소설,자기계발서,소설,소설,수필,있다,공공도서관,대학도서관,12,-1,"공부, 학습",-1,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,약간 증가,시간과 장소에 관계없이 이용할 수 있어서,보관과 휴대가 편리해서,무료 이용,구매 이용
64,65,서울,46,여,전혀 읽지 않음,약간 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,약간 감소,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,변함 없음,-1,-1,-1,-1
65,66,서울,38,여,일주일에 한두 번,약간 좋아한다,5,6,2,"인터넷의 책 소개, 광고","신문이나 잡지의 책 소개, 광고",직접 구입,도서관 대여,소설,시,소설,"어학, 외국어",소설,수필,있다,공공도서관,학교도서관,5,-1,독서 및 도서 대출,-1,약간 증가,약간 증가,변함 없음,약간 증가,약간 증가,약간 증가,변함 없음,시간과 장소에 관계없이 이용할 수 있어서,보관과 휴대가 편리해서,대여 이용,구매 이용
