"지역","지역구분","연령","성별","1)평일여가시간(시간)","1)평일여가시간(분)","2)주말여가시간(시간)","2)주말여가시간(분)","1)평일독서시간(시간)","1)평일독서시간(분)","2)주말독서시간(시간)","2)주말독서시간(분)","평소책을읽는빈도","전년대비독서시간변화","독서장애요인1","독서장애요인2","독서유용성평가","1)종이책연간독서량","2)전자책연간독서량","본인의독서량평가","독서목적1","독서목적2","독서의계기및기회1","독서의계기및기회2","독서장소1","독서장소2","도서선택시이용정보1","도서선택시이용정보2","도서입수경로1","도서입수경로2","1)종이책도서선호분야1","1)종이책도서선호분야2","1)종이책도서선호분야3","2)전자책도서선호분야1","2)전자책도서선호분야2","2)전자책도서선호분야3","1)종이책도서구입처1","1)종이책도서구입처2","2)전자책도서구입처1","2)전자책도서구입처2","1)종이책연간구입권수","1)종이책연간구입비","2)전자책연간구입권수","2)전자책연간구입비","독서대화","독서권장을받은경험","직장의독서환경1","직장의독서환경2","직장의독서환경3","직장의독서환경4","직장의독서환경5","직장의독서환경6","직장의독서환경7","직장의독서환경8","직장의독서환경9","공공도서관이용경험","주로이용하는공공도서관의종류","공공도서관이용빈도(월)","공공도서관이용빈도(연)","공공도서관이용목적","공공도서관비이용이유","독서프로그램참여경험","참여해본독서프로그램1","참여해본독서프로그램2","참여해본독서프로그램3","참여해본독서프로그램4","참여해본독서프로그램5","참여해본독서프로그램6","독서프로그램참여계기","독서프로그램비참여이유","참여희망독서프로그램1","참여희망독서프로그램2","참여희망독서프로그램3","참여희망독서프로그램4","참여희망독서프로그램5","참여희망독서프로그램6","독서동아리참여경험","참여경험이있는독서동아리1","참여경험이있는독서동아리2","참여경험이있는독서동아리3","참여경험이있는독서동아리4","참여경험이있는독서동아리5","참여경험이있는독서동아리6","독서동아리참여계기","독서동아리비참여이유","참여희망독서동아리1","참여희망독서동아리2","참여희망독서동아리3","참여희망독서동아리4","참여희망독서동아리5","참여희망독서동아리6","1)독서활성화방안(독서환경)1","1)독서활성화방안(독서환경)2","2)독서활성화방안(독서문화)1","2)독서활성화방안(독서문화)2","3)독서활성화방안(독서운동)1","3)독서활성화방안(독서운동)2","4)독서활성화방안(독서복지)1","4)독서활성화방안(독서복지)2","도서구입비세제혜택인지도","도서구입비세제혜택의도움정도","1)본인교육정도최종학력","본인직업","가구월평균소득","가중치"
1,1,19,1,2,0,5,0,0,0,0,30,2,3,3,2,2,10,0,4,4,3,2,4,1,5,1,4,1,3,2,4,13,,,,1,6,,,13,100000,,,4,2,,,,,,,,,,1,1,1,,1,,2,,,,,,,,4,3,5,,,,,2,,,,,,,,2,5,,,,,,5,6,3,4,2,4,3,4,5,1,6,12,6,1.750375
1,1,19,1,6,0,10,0,0,10,0,10,3,3,4,3,3,20,0,1,2,1,7,3,1,,5,1,1,2,1,11,13,,,,6,5,,,20,300000,,,5,2,,,,,,,,,,2,,,,,1,2,,,,,,,,1,6,,,,,,2,,,,,,,,4,3,,,,,,2,4,3,1,4,2,3,4,5,4,4,14,5,1.750375
1,1,19,2,2,0,6,0,0,0,0,0,5,3,1,,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,2,,,,,10,2,,,,,,,,2,3,,,,,,2,,,,,,,,2,8,,,,,,2,1,1,4,2,4,2,3,5,2,6,12,3,1.689661
1,1,19,2,3,0,10,0,0,10,0,0,2,4,1,6,1,3,0,5,5,7,2,9,7,1,8,1,1,,1,2,3,,,,1,6,,,3,45000,,,4,1,,,,,,,,,,2,,,,,11,2,,,,,,,,2,2,,,,,,2,,,,,,,,2,4,,,,,,3,1,1,4,3,2,1,5,5,1,5,12,5,1.689661
1,1,19,2,5,0,10,0,0,0,1,0,3,5,1,2,2,24,0,5,2,4,1,7,2,4,1,4,3,1,10,2,1,,,,6,1,,,5,125000,,,4,2,,,,,,,,,,1,1,1,,3,,2,,,,,,,,3,4,,,,,,2,,,,,,,,1,5,,,,,,2,4,1,3,1,2,3,4,5,4,5,12,3,1.838952
1,1,20,1,1,0,6,0,0,0,2,0,4,3,10,4,2,20,0,3,4,7,2,8,1,,1,4,1,,11,2,,,,,1,3,,,2,40000,,,3,2,,,,,,,,,,1,1,,3,1,,2,,,,,,,,5,5,,,,,,2,,,,,,,,5,1,5,,,,,1,2,3,2,2,3,2,4,5,3,6,12,4,1.750375
1,1,20,1,10,0,10,0,1,0,5,0,4,5,4,2,1,10,0,3,5,2,2,4,1,2,1,6,1,3,1,3,11,,,,1,6,,,10,150000,,,5,2,,,,,,,,,,1,1,1,,3,,2,,,,,,,,5,3,,,,,,2,,,,,,,,1,5,,,,,,1,2,1,4,1,4,1,3,5,2,6,12,4,1.750375
1,1,20,1,2,0,3,0,0,30,0,40,3,4,1,2,3,3,3,3,1,2,1,2,2,1,1,8,1,4,2,3,9,2,3,,1,6,3,2,3,35000,3,18000,2,2,,,,,,,,,,2,,,,,4,2,,,,,,,,4,1,2,4,,,,2,,,,,,,,4,1,,,,,,1,4,2,3,2,3,4,2,4,2,6,12,6,1.750375
1,1,20,1,2,0,4,0,0,30,1,30,2,3,10,,2,3,0,3,4,7,7,2,7,1,10,5,2,3,1,13,2,,,,1,6,,,2,30000,,,4,3,,,,,,,,,,1,1,,2,1,,2,,,,,,,,2,2,3,,,,,2,,,,,,,,2,4,,,,,,6,5,3,2,2,4,4,2,5,4,6,12,4,1.750375
1,1,20,2,2,0,2,0,1,0,0,0,4,3,1,2,2,11,0,4,7,3,2,7,2,1,5,7,1,2,13,5,1,,,,2,1,,,6,60000,,,4,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,2,2,3,,,,,2,,,,,,,,2,5,,,,,,1,5,2,3,2,3,4,3,2,2,4,5,4,1.689661
