"학교구분","학교구분(세부)","성별","학년","학교소재지","학교소재지(지역규모)","1)평일여가시간(시간)","1)평일여가시간(분)","1)평일독서시간(시간)","1)평일독서시간(분)","2)주말독서시간(시간)","2)주말독서시간(분)","평소책일읽는빈도","전년대비독서시간변화","독서장애요인1","독서장애요인2","독서의도움정도","1)종이책연간독서량","2)전자책연간독서량","본인의독서량평가","독서목적1","독서목적2","독서의계기1","독서의계기2","독서장소1","독서장소2","도서선택시이용정보1","도서선택시이용정보2","도서선택시도움을받는사람1","도서선택시도움을받는사람2","도서입수경로1","도서입수경로2","1)초등학생독서분야선호도1","1)초등학생독서분야선호도2","1)초등학생독서분야선호도3","2)중고등학생독서분야선호도1","2)중고등학생독서분야선호도2","2)중고등학생독서분야선호도3","1)종이책연간구입권수","1)종이책연간구입비","2)전자책연간구입권수","2)전자책연간구입비","가정의독서권장","독서대화","부모님독서권유","선생님독서권유","아침독서시간여부","1)1주일평균아침독서실시횟수","2)1회평균아침독서시간","아침독서도움여부","아침독서희망여부","독서지도방법1","독서지도방법2","독서지도방법3","독서지도방법4","독서지도방법5","독서지도방법6","독서지도방법7","독서지도방법8","학교도서관이용여부","학교도서관이용횟수","학교도서관이용이유","공공도서관이용경험","주로이용하는공공도서관의종류1","주로이용하는공공도서관의종류2","공공도서관이용이유","공공도서관비이용이유","독서프로그램실시여부","독서프로그램참여경험","참여해본독서프로그램1","참여해본독서프로그램2","참여해본독서프로그램3","참여해본독서프로그램4","참여해본독서프로그램5","참여해본독서프로그램6","참여해본독서프로그램7","참여해본독서프로그램8","참여해본독서프로그램9","참여해본독서프로그램10","참여해본독서프로그램11","참여해본독서프로그램12","참여해본독서프로그램13","참여해본독서프로그램만족도","독서프로그램비참여이유","참여희망독서프로그램1","참여희망독서프로그램2","참여희망독서프로그램3","참여희망독서프로그램4","참여희망독서프로그램5","참여희망독서프로그램6","참여희망독서프로그램7","참여희망독서프로그램8","참여희망독서프로그램9","참여희망독서프로그램10","참여희망독서프로그램11","참여희망독서프로그램12","참여희망독서프로그램13","독서동아리참여경험","참여해본독서동아리1","참여해본독서동아리2","참여해본독서동아리3","참여해본독서동아리4","참여해본독서동아리5","참여해본독서동아리6","참여해본독서동아리만족도","독서동아리비참여이유","참여희망독서동아리1","참여희망독서동아리2","참여희망독서동아리3","참여희망독서동아리4","참여희망독서동아리5","참여희망독서동아리6","1)학교도서관(도서실)을편하게이용할수있으면좋겠다","2)학급문고에책이많으면좋겠다","3)좋은책에대한소개와정보를주면좋겠다","4)독서방법,독후감쓰기등에대한교육이있으면좋겠다","5)다양한독서관련행사가있으면좋겠다","6)독서시간을늘리면좋겠다","7)책과관련된대화를나누면좋겠다","8)평소책읽는모습을보여주면좋겠다","9)책을더많이사주면좋겠다","10)도서관과서점을부모님과함께이용하면좋겠다","가중치"
1,1,1,4,1,1,0,10,99,99,99,99,2,4,1,13,2,10.0,0,3,1,10,1,4,1,2,1,5,3,6,2,7,12,2,13,,,,0,0,,,2,3,3,3,1,5,20,1,,2,,,,,,,,2,,,2,,,,14,1,2,,,,,,,,,,,,,,,1,98,,,,,,,,,,,,,2,,,,,,,,1,8,,,,,,3,3,3,3,3,1,3,3,3,3,0.787649
1,1,1,4,1,1,1,0,0,30,1,0,1,3,1,5,2,100.0,0,3,2,3,8,1,1,8,1,7,5,3,5,2,1,2,6,,,,5,60000,,,1,2,1,1,1,5,20,1,,2,4,5,,,,,,1,2,99,1,2,1,1,,1,2,,,,,,,,,,,,,,,2,6,9,10,,,,,,,,,,,2,,,,,,,,2,1,,,,,,1,2,1,2,2,2,2,2,2,2,0.787649
1,1,1,4,1,1,1,20,0,50,1,2,2,2,13,12,1,5.0,0,3,3,4,10,,1,2,99,,5,,7,,5,6,12,,,,5,99999999,,,2,9,1,3,1,5,20,1,,2,,,,,,,,1,2,3,1,3,,6,,1,1,1,,,,,,,,,,,,,1,,2,4,,,,,,,,,,,,1,2,,,,,,1,,1,3,,,,,5,5,5,5,5,5,5,5,5,5,0.787649
1,1,1,4,1,1,1,30,0,40,1,0,2,2,1,6,2,60.0,0,3,1,4,7,9,7,1,9,4,4,5,3,4,1,12,11,,,,99999,99999999,,,2,3,1,2,1,5,20,2,,5,,,,,,,,1,2,9,1,2,3,2,,1,2,,,,,,,,,,,,,,,5,1,3,11,,,,,,,,,,,2,,,,,,,,2,4,,,,,,3,2,2,3,2,2,2,3,3,2,0.787649
1,1,1,4,1,1,1,30,0,47,0,15,2,3,13,2,2,216.0,0,3,1,2,4,1,1,3,1,5,5,4,4,2,5,12,1,,,,0,0,,,1,3,1,2,1,5,20,2,,7,,,,,,,,1,2,1,1,4,2,1,,1,2,,,,,,,,,,,,,,,2,4,7,8,,,,,,,,,,,2,,,,,,,,2,3,5,,,,,5,2,2,4,1,1,2,1,1,2,0.787649
1,1,1,4,1,1,1,30,1,0,2,0,1,3,13,,2,70.0,0,3,7,1,8,9,1,2,1,12,3,5,1,4,2,9,1,,,,30,99999999,,,1,3,2,3,1,5,10,1,,2,5,,,,,,,1,1,2,2,,,,3,1,2,,,,,,,,,,,,,,,4,4,8,,,,,,,,,,,,2,,,,,,,,4,1,,,,,,1,1,1,5,1,1,2,5,1,1,0.787649
1,1,1,4,1,1,1,30,1,0,5,0,1,1,5,13,3,65.0,30,1,10,7,10,9,1,7,1,5,5,,1,8,7,8,12,,,,99999,99999999,99999,99999999,1,3,2,1,1,5,10,2,,3,,,,,,,,1,3,1,1,3,,7,,1,2,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,2,,,,,,,,6,9,,,,,,1,1,3,5,3,1,3,4,1,1,0.787649
1,1,1,4,1,1,1,30,99,99,99,99,9,3,10,2,5,50.0,0,5,5,6,1,7,1,7,6,5,3,4,1,8,12,11,6,,,,65,500000,,,1,5,5,1,1,5,10,5,,2,,,,,,,,2,,,2,,,,14,1,2,,,,,,,,,,,,,,,1,98,,,,,,,,,,,,,2,,,,,,,,1,9,,,,,,5,5,5,5,5,5,5,5,5,5,0.787649
1,1,1,4,1,1,1,50,0,45,0,50,2,2,13,2,2,42.0,0,3,1,5,1,4,1,9,1,,5,3,6,4,15,,,,,,0,0,,,5,4,2,3,1,5,20,2,,8,,,,,,,,1,4,1,1,1,,1,,1,2,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,2,3,2,4,4,3,3,3,3,4,0.787649
1,1,1,4,1,1,11,0,0,20,0,0,2,3,2,11,3,35.0,0,5,10,9,4,1,1,2,4,1,5,3,2,3,12,11,,,,,0,0,,,1,5,1,1,1,5,10,5,,2,3,5,,,,,,1,2,3,2,,,,12,1,2,,,,,,,,,,,,,,,1,98,,,,,,,,,,,,,2,,,,,,,,1,8,,,,,,2,3,3,4,4,5,4,3,2,4,0.787649
