"지역","지역 (시/군 구분)","지역구분","지역구분2","연령","성별","1) 종이책 이용 빈도","1) 종이책 평일 이용 시간 (시간)","1) 종이책 평일 이용 시간 (분)","1) 종이책 휴일 이용 시간 (시간)","1) 종이책 휴일 이용 시간 (분)","2) 전자책 이용 빈도","2) 전자책 평일 이용 시간 (시간)","2) 전자책 평일 이용 시간 (분)","2) 전자책 휴일 이용 시간 (시간)","2) 전자책 휴일 이용 시간 (분)","3) 오디오북 이용 빈도","3) 오디오북 평일 이용 시간 (시간)","3) 오디오북 평일 이용 시간 (분)","3) 오디오북 휴일 이용 시간 (시간)","3) 오디오북 휴일 이용 시간 (분)","4) 종이신문 이용 빈도","4) 종이신문 평일 이용 시간 (시간)","4) 종이신문 평일 이용 시간 (분)","4) 종이신문 휴일 이용 시간 (시간)","4) 종이신문 휴일 이용 시간 (분)","5) 인터넷신문 이용 빈도","5) 인터넷신문 평일 이용 시간 (시간)","5) 인터넷신문 평일 이용 시간 (분)","5) 인터넷신문 휴일 이용 시간 (시간)","5) 인터넷신문 휴일 이용 시간 (분)","6) 종이잡지 이용 빈도","6) 종이잡지 평일 이용 시간 (시간)","6) 종이잡지 평일 이용 시간 (분)","6) 종이잡지 휴일 이용 시간 (시간)","6) 종이잡지 휴일 이용 시간 (분)","7) 웹진 이용 빈도","7) 웹진 평일 이용 시간 (시간)","7) 웹진 평일 이용 시간 (분)","7) 웹진 휴일 이용 시간 (시간)","7) 웹진 휴일 이용 시간 (분)","8) 만화책 이용 빈도","8) 만화책 평일 이용 시간 (시간)","8) 만화책 평일 이용 시간 (분)","8) 만화책 휴일 이용 시간 (시간)","8) 만화책 휴일 이용 시간 (분)","9) 웹툰 이용 빈도","9) 웹툰 평일 이용 시간 (시간)","9) 웹툰 평일 이용 시간 (분)","9) 웹툰 휴일 이용 시간 (시간)","9) 웹툰 휴일 이용 시간 (분)","전년 대비 독서 시간 변화(종이책 또는 전자책)","전년 대비 독서 시간 변화(오디오북)","독서 선호도","독서 장애 요인_1","독서 장애 요인_2","독서 유용성 여부","1) 정보 수용과 해석 능력 향상","2) 풍부한 정서와 감성 발달","3) 논리적, 비판적 사고 증진","4) 상상력, 창의력 함양","5) 행복감, 삶의 질 향상","6) 말하기, 글쓰기 표현력 향상","7) 원활한 의사소통에 도움","8) 타인과의 교감, 공감 능력","9) 문제 해결능력 향상","10) 세상에 대한 이해와 통찰력","1) 종이책 독서량","2) 전자책 독서량","3) 오디오북 독서량","4) 종이잡지 독서량","5) 웹진 독서량","6) 만화책 독서량","7) 웹툰 독서량","본인의 독서량 평가","독서 목적_1","독서 목적_2","독서의 계기 및 기회_1","독서의 계기 및 기회_2","독서 장소_1","독서 장소_2","도서 선택 시 이용 정보_1","도서 선택 시 이용 정보_2","도서 입수 경로_1","도서 입수 경로_2","1) 종이책 선호 분야_1","1) 종이책 선호 분야_2","2) 전자책 선호 분야_1","2) 전자책 선호 분야_2","3) 오디오북 선호 분야_1","3) 오디오북 선호 분야_2","1) 종이책 구입처_1","1) 종이책 구입처_2","2) 전자책 구입처_1","2) 전자책 구입처_2","3) 오디오북 구입처_1","3) 오디오북 구입처_2","1) 종이책 연간 구입권수","1) 종이책 연간 구입비","2) 전자책 연간 구입권수","2) 전자책 연간 구입비","3) 오디오북 연간 구입권수","3) 오디오북 연간 구입비","독서 대화","독서 권장을 받은 경험","직장의 독서 환경_1","직장의 독서 환경_2","직장의 독서 환경_3","직장의 독서 환경_4","직장의 독서 환경_5","직장의 독서 환경_6","직장의 독서 환경_7","직장의 독서 환경_8","직장의 독서 환경_9","연간 도서관 이용률","주 이용 도서관","1) 월 평균 이용 횟수","2) 연 평균 이용 횟수","도서관 이용 목적","도서관 비이용 이유","독서 프로그램 참여율","참여경험 독서 프로그램_1","참여경험 독서 프로그램_2","참여경험 독서 프로그램_3","참여경험 독서 프로그램_4","참여경험 독서 프로그램_5","참여경험 독서 프로그램_6","독서 프로그램 참여 계기","독서 프로그램 비참여 이유","참여희망 독서 프로그램_1","참여희망 독서 프로그램_2","참여희망 독서 프로그램_3","참여희망 독서 프로그램_4","참여희망 독서 프로그램_5","참여희망 독서 프로그램_6","독서 동아리 참여율","참여경험 독서 동아리_1","참여경험 독서 동아리_2","참여경험 독서 동아리_3","참여경험 독서 동아리_4","참여경험 독서 동아리_5","참여경험 독서 동아리_6","독서 동아리 참여 계기","독서 동아리 비참여 이유","참여희망 독서 동아리_1","참여희망 독서 동아리_2","참여희망 독서 동아리_3","참여희망 독서 동아리_4","참여희망 독서 동아리_5","참여희망 독서 동아리_6","1) 사회적 독서 활성화_1","1) 사회적 독서 활성화_2","2) 독서의 가치 공유_1","2) 독서의 가치 공유_2","3) 독서복지_1","3) 독서복지_2","4) 나의 독서 생활화에 필요한 것_1","4) 나의 독서 생활화에 필요한 것_2","1) 최종 학력","2) 이수 여부","직업","가구 소득","가중치"
1,1,1,1,1,1,2,0,30,0,0,5,,,,,3,0,0,1,0,5,,,,,2,0,30,0,0,5,,,,,5,,,,,5,,,,,3,0,30,0,30,3,3,3,2,9,3,9,7,6,8,7,6,5,6,7,6,3,0,10,0,0,0,5,4,5,4,3,1,1,3,5,4,5,1,11,13,,,2,,1,3,,,5,,2,14000,,,10,9000,3,3,9,,,,,,,,,2,,,,,3,2,,,,,,,,2,5,,,,,,2,,,,,,,,4,2,,,,,,2,4,2,3,1,4,3,6,4,1,4,5,1.772471873
1,1,1,1,1,1,2,0,30,0,0,5,,,,,5,,,,,5,,,,,1,0,30,0,30,5,,,,,5,,,,,5,,,,,5,,,,,2,3,2,4,2,3,9,6,8,7,5,5,6,7,7,8,30,0,0,0,0,0,0,4,6,4,6,1,3,1,11,4,1,2,13,1,,,,,7,,,,,,3,20000,,,,,5,1,9,,,,,,,,,2,,,,,10,2,,,,,,,,4,2,5,,,,,2,,,,,,,,2,4,,,,,,3,5,1,5,2,1,3,2,6,1,3,3,1.772471873
1,1,1,1,1,1,2,0,30,0,10,5,,,,,5,,,,,5,,,,,2,0,10,0,10,5,,,,,5,,,,,5,,,,,2,0,30,0,30,3,3,3,2,6,2,6,5,8,7,7,6,6,7,8,7,30,0,0,0,0,0,5,3,5,4,5,3,3,7,10,5,1,5,13,10,,,,,1,7,,,,,3,50000,,,,,3,3,9,,,,,,,,,2,,,,,3,2,,,,,,,,2,2,5,,,,,2,,,,,,,,4,2,5,,,,,4,6,2,4,5,6,7,1,5,1,4,7,1.772471873
1,1,1,1,1,1,2,0,30,0,30,2,1,0,1,0,5,,,,,5,,,,,2,0,20,0,30,5,,,,,5,,,,,5,,,,,5,,,,,2,3,2,2,4,2,8,6,7,8,7,6,8,7,8,6,10,10,0,0,0,0,0,3,4,3,1,3,1,2,1,5,3,1,8,1,2,13,,,2,6,2,,,,2,30000,10,10000,,,3,2,,,,,,,,,,1,2,20,,3,,2,,,,,,,,1,1,2,,,,,2,,,,,,,,5,2,,,,,,1,2,2,4,3,1,1,6,6,2,12,5,1.897956342
1,1,1,1,1,1,2,1,30,1,30,4,0,25,0,30,5,,,,,5,,,,,2,0,15,0,20,5,,,,,5,,,,,3,1,0,1,50,2,0,50,1,0,2,5,2,2,10,1,8,9,9,8,9,8,9,9,8,9,50,2,0,0,0,7,8,2,2,4,2,6,2,1,6,4,3,1,10,1,2,1,,,6,1,2,3,,,3,45000,0,0,,,2,3,,,,,,,,,,1,2,5,,3,,1,4,,,,,,1,,5,,,,,,1,1,,,,,,2,,4,,,,,,1,3,1,5,4,2,2,5,5,2,12,6,1.897956342
1,1,1,1,1,1,2,1,30,2,0,4,0,30,0,30,5,,,,,5,,,,,2,0,15,0,20,5,,,,,5,,,,,3,1,0,2,0,3,1,0,1,0,2,5,2,2,10,1,7,9,7,8,8,9,9,8,7,8,6,2,0,0,0,7,8,2,2,4,2,6,2,1,4,6,1,3,10,1,2,1,,,6,1,2,3,,,3,50000,0,0,,,3,3,,,,,,,,,,1,2,5,,3,,1,4,,,,,,1,,4,5,,,,,1,1,,,,,,3,,1,4,,,,,1,3,1,5,4,2,2,5,5,2,12,6,1.772471873
1,1,1,1,1,1,2,2,0,1,0,5,,,,,5,,,,,5,,,,,1,0,30,0,40,3,1,0,0,0,5,,,,,5,,,,,5,,,,,3,3,2,1,4,1,9,8,9,10,9,9,8,9,10,9,100,0,0,3,0,0,0,3,4,3,6,1,1,5,1,5,1,3,5,8,,,,,1,6,,,,,3,50000,,,,,2,1,1,,,,,,,,,1,5,5,,2,,2,,,,,,,,5,1,2,3,5,,,2,,,,,,,,5,1,4,,,,,3,5,3,1,1,3,1,2,6,1,3,8,1.897956342
1,1,1,1,1,1,2,2,0,2,0,4,0,30,0,30,5,,,,,4,0,20,0,0,2,0,30,0,20,5,,,,,3,0,30,0,20,3,1,0,2,0,1,1,0,2,0,2,5,2,2,4,1,10,10,10,10,7,10,6,10,6,10,50,3,0,0,2,30,20,2,4,3,1,6,2,3,1,5,3,1,2,11,11,8,,,3,6,1,2,,,20,500000,0,0,,,2,2,,,,,,,,,,1,1,7,,1,,2,,,,,,,,5,2,,,,,,2,,,,,,,,8,4,,,,,,4,1,3,1,5,2,2,1,4,1,12,5,1.772471873
1,1,1,1,1,1,2,2,0,2,0,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,2,1,0,1,0,5,,,,,3,3,2,1,4,3,8,10,9,9,9,9,9,8,9,9,10,0,0,0,0,10,0,4,3,4,1,7,1,2,1,9,1,2,1,7,,,,,1,,,,,,15,100000,,,,,3,2,9,,,,,,,,,2,,,,,3,2,,,,,,,,5,2,,,,,,2,,,,,,,,5,3,,,,,,1,4,1,4,6,5,2,5,6,4,5,1,1.772471873
1,1,1,1,1,1,2,6,0,6,0,4,0,0,5,0,5,,,,,5,,,,,2,2,0,2,0,4,0,0,4,0,5,,,,,2,0,0,4,0,3,0,0,2,0,1,3,4,2,1,2,8,7,7,4,1,7,7,1,1,2,30,8,0,3,0,50,2,5,2,4,2,6,2,5,4,11,1,4,8,12,2,1,,,1,7,3,1,,,3,60000,4,32000,,,3,3,,,,,,,,,,1,2,1,,3,,2,,,,,,,,4,2,5,,,,,2,,,,,,,,2,4,,,,,,3,4,3,4,3,1,5,4,6,1,12,1,1.772471873
