,학교구분,성별,학교 소재지,독서 빈도,독서장애요인1,독서장애요인2,도서 선택시 이용정보1,도서 선택시 이용정보2,도서 입수경로1,도서 입수경로2,초등 독서분야 선호도1,초등 독서분야 선호도2,초등 독서분야 선호도3,중고등 독서분야 선호도1,중고등 독서분야 선호도2,중고등 독서분야 선호도3,학교 밖 도서관이용경험,주이용 도서관 종류1,주이용 도서관 종류2,이용 이유,비이용 이유,연도,종이책 독서 빈도,전자책 독서 빈도,오디오북 이용 빈도,종이신문,인터넷신문,종이잡지,웹진,만화책,웹툰,독서선호도,월 평균 이용빈도,연 평균 이용빈도,평일 평균 독서시간(분),주말 평균 독서시간(분),종이_평일 평균 독서시간(분),종이_주말 평균 독서시간(분),전자_평일 평균 독서시간(분),전자_주말 평균 독서시간(분),오디오_평일 평균 독서시간(분),오디오_주말 평균 독서시간(분),종이책,전자책,웹소설,오디오북,총 독서량,도서관 방문,전자도서관 이용,전자책/오디오북/웹소설 구독
0,초등,남,서울,전혀 읽지 않음,책읽기가 싫고 습관이 들지않아서,책을 읽고 이해하기가 어려워서,0,0,0,0,0,0,0,0,0,0,없다,0,0,0,책을 잘 읽지 않는다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 싫어한다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1,초등,남,서울,일주일에 한두 번,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",어떤 책을 읽을지 몰라서,"텔레비전이나 라디오의 책 소개, 광고","유튜브, 책방송 팟캐스트의 책 소개",학교 밖 도서관 대여,부모님께서 구입,그림책,취미,수필,0,0,0,있다,공공도서관,작은도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,약간 증가,약간 감소,변함 없음
2,초등,남,서울,매일,부모님이 책읽는 것을 공부라고 생각하지 않으셔서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","서점, 도서관 등에서 책을 직접 보고",기타,기타,학교 밖 도서관 대여,동화/소설,"철학, 논리",자기계발서,0,0,0,있다,기타,어린이도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 좋아한다,21.0,0.0,0.0,0.0,120.0,330.0,0.0,0.0,0.0,0.0,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,매우 증가,변함 없음,변함 없음
3,초등,남,서울,매일,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책을 빌릴 곳이 없어서,"서점, 도서관 등에서 책을 직접 보고",0,직접 구입,학교 도서관 대여,기타,"철학, 논리",과학,0,0,0,없다,0,0,0,집에서 멀다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,0.0,0.0,매우 감소,매우 감소,매우 감소,매우 감소,약간 감소,매우 증가,매우 감소,매우 감소
4,초등,남,서울,전혀 읽지 않음,학업 때문에 책읽을시간이 없어서,책읽기가 싫고 습관이 들지않아서,"가족, 선생님, 친구 추천","서점, 도서관 등에서 책을 직접 보고",부모님께서 구입,학교 도서관 대여,동화/소설,"역사, 위인전","연예, 오락, 스포츠",0,0,0,있다,공공도서관,어린이도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 싫어한다,매우 증가,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 증가,변함 없음,변함 없음,변함 없음,매우 증가,변함 없음,변함 없음,변함 없음
5,초등,남,서울,한 달에 한두 번,책읽기가 싫고 습관이 들지않아서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",부모님께서 구입,학교 밖 도서관 대여,동화/소설,취미,과학,0,0,0,없다,0,0,0,주로 학교도서관을 이용한다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 싫어한다,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음,변함 없음
6,초등,남,서울,일주일에 한두 번,학업 때문에 책읽을시간이 없어서,읽을 만한 책이 없어서,"서점, 도서관 등에서 책을 직접 보고","텔레비전이나 라디오의 책 소개, 광고",직접 구입,부모님께서 구입,그림책,"연예, 오락, 스포츠","예술, 문화",0,0,0,있다,공공도서관,어린이도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,변함 없음,0.0,0.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,매우 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 증가,변함 없음,9
7,초등,남,서울,매일,기타,책읽기가 싫고 습관이 들지않아서,0,0,0,0,0,0,0,0,0,0,있다,기타,0,기타,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 싫어한다,10.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,9,9,9,9,매우 증가,매우 증가,매우 감소,9
8,초등,남,서울,매일,책읽기가 싫고 습관이 들지않아서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","드라마, 영화의 원작","서점, 도서관 등에서 책을 직접 보고",학교 밖 도서관 대여,집에 있는 책,취미,그림책,"역사, 위인전",0,0,0,있다,공공도서관,작은도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,매우 감소,0.0,0.0,0.0,20.0,25.0,10.0,20.0,30.0,20.0,약간 증가,변함 없음,약간 증가,변함 없음,변함 없음,약간 증가,변함 없음,약간 증가
9,초등,남,서울,매일,책읽기가 싫고 습관이 들지않아서,기타,각종 기관의 추천도서,베스트셀러,선물받은 책,주위 사람에게 대여,기타,자기계발서,취미,0,0,0,있다,공공도서관,0,기타,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,약간 증가,0.0,0.0,0.0,0.0,90.0,150.0,0.0,0.0,매우 감소,매우 증가,매우 감소,매우 감소,약간 증가,매우 감소,매우 증가,매우 증가
10,초등,남,서울,한 달에 한두 번,책읽기가 싫고 습관이 들지않아서,어떤 책을 읽을지 몰라서,"서점, 도서관 등에서 책을 직접 보고",SNS 책 소개,부모님께서 구입,집에 있는 책,동화/소설,동시/시,"역사, 위인전",0,0,0,없다,0,0,0,책을 잘 읽지 않는다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 싫어한다,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,약간 감소,변함 없음,변함 없음,변함 없음,약간 감소,매우 감소,매우 감소,매우 감소
11,초등,남,서울,매일,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책을 읽을만한 가정환경이 아니어서,"드라마, 영화의 원작","유튜브, 책방송 팟캐스트의 책 소개",집에 있는 책,직접 구입,종교,"예술, 문화",그림책,0,0,0,없다,0,0,0,학업 등의 이유로 바빠서 이용할 시간이 없다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 좋아한다,0.0,0.0,0.0,0.0,90.0,130.0,70.0,190.0,150.0,150.0,매우 증가,매우 감소,매우 감소,변함 없음,매우 증가,변함 없음,변함 없음,변함 없음
12,초등,남,서울,매일,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",책읽기가 싫고 습관이 들지않아서,"신문이나 잡지의 책 소개, 광고",각종 기관의 추천도서,부모님께서 구입,집에 있는 책,"예술, 문화",동화/소설,취미,0,0,0,있다,공공도서관,작은도서관,9,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,190.0,120.0,0.0,0.0,0.0,0.0,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,변함 없음,변함 없음,변함 없음
13,초등,남,서울,매일,학업 때문에 책읽을시간이 없어서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","서점, 도서관 등에서 책을 직접 보고","유튜브, 책방송 팟캐스트의 책 소개",기타,학교 도서관 대여,"연예, 오락, 스포츠",취미,과학,0,0,0,없다,0,0,0,학업 등의 이유로 바빠서 이용할 시간이 없다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,0.0,0.0,0.0,0.0,30.0,40.0,30.0,60.0,0.0,0.0,변함 없음,변함 없음,매우 증가,변함 없음,매우 증가,매우 감소,약간 감소,매우 증가
14,초등,남,서울,매일,책읽기가 싫고 습관이 들지않아서,책을 읽고 이해하기가 어려워서,"드라마, 영화의 원작","서점, 도서관 등에서 책을 직접 보고",부모님께서 구입,학교 밖 도서관 대여,취미,동화/소설,그림책,0,0,0,있다,공공도서관,기타,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보통이다,약간 증가,0.0,0.0,0.0,30.0,60.0,60.0,120.0,0.0,0.0,매우 증가,약간 감소,변함 없음,매우 감소,변함 없음,변함 없음,매우 감소,변함 없음
15,초등,남,서울,매일,어떤 책을 읽을지 몰라서,학업 때문에 책읽을시간이 없어서,베스트셀러,"신문이나 잡지의 책 소개, 광고",집에 있는 책,직접 구입,"철학, 논리","역사, 위인전",자기계발서,0,0,0,있다,어린이도서관,작은도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 좋아한다,변함 없음,0.0,0.0,0.0,240.0,60.0,0.0,0.0,0.0,0.0,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,매우 감소,변함 없음,변함 없음
16,초등,남,서울,일주일에 한두 번,학업 때문에 책읽을시간이 없어서,책읽기가 싫고 습관이 들지않아서,기타,"서점, 도서관 등에서 책을 직접 보고",부모님께서 구입,집에 있는 책,그림책,취미,과학,0,0,0,있다,공공도서관,작은도서관,"비디오, 영화 감상",0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 싫어한다,매우 증가,0.0,0.0,0.0,50.0,60.0,0.0,0.0,50.0,50.0,변함 없음,매우 감소,매우 감소,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
17,초등,남,서울,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,책읽기가 싫고 습관이 들지않아서,"서점, 도서관 등에서 책을 직접 보고","텔레비전이나 라디오의 책 소개, 광고",부모님께서 구입,학교 도서관 대여,그림책,과학,종교,0,0,0,있다,공공도서관,어린이도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,매우 증가,0.0,0.0,0.0,30.0,0.0,약간 감소,0.0,0.0,0.0,변함 없음,약간 감소,약간 증가,매우 감소,9,변함 없음,약간 감소,매우 감소
18,초등,남,서울,매일,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,직접 구입,부모님께서 구입,동화/소설,그림책,취미,0,0,0,없다,0,0,0,학업 등의 이유로 바빠서 이용할 시간이 없다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,약간 증가,변함 없음,변함 없음,변함 없음,약간 증가,약간 감소,변함 없음,변함 없음
19,초등,남,서울,일주일에 한두 번,어떤 책을 읽을지 몰라서,학업 때문에 책읽을시간이 없어서,"가족, 선생님, 친구 추천",기타,주위 사람에게 대여,집에 있는 책,동화/소설,기타,취미,0,0,0,있다,공공도서관,작은도서관,독서 및 도서 대출,0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,약간 좋아한다,10.0,0.0,0.0,0.0,180.0,240.0,0.0,0.0,0.0,0.0,매우 증가,변함 없음,변함 없음,변함 없음,매우 증가,매우 증가,약간 감소,매우 감소
20,초등,남,서울,매일,학업 때문에 책읽을시간이 없어서,어떤 책을 읽을지 몰라서,기타,"가족, 선생님, 친구 추천",직접 구입,주위 사람에게 대여,동화/소설,취미,동시/시,0,0,0,없다,0,0,0,주로 학교도서관을 이용한다,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매우 좋아한다,0.0,0.0,0.0,0.0,90.0,90.0,0.0,0.0,20.0,10.0,매우 증가,변함 없음,변함 없음,변함 없음,매우 증가,매우 증가,변함 없음,변함 없음
