,학교구분,성별,학교 소재지,독서 빈도,독서장애요인1,독서장애요인2,도서 선택시 이용정보1,도서 선택시 이용정보2,도서 입수경로1,도서 입수경로2,초등 독서분야 선호도1,초등 독서분야 선호도2,초등 독서분야 선호도3,중고등 독서분야 선호도1,중고등 독서분야 선호도2,중고등 독서분야 선호도3,학교 밖 도서관이용경험,주이용 도서관 종류1,주이용 도서관 종류2,이용 이유,비이용 이유,연도,독서선호도,월 평균 이용빈도,연 평균 이용빈도,평일 평균 독서시간(분),주말 평균 독서시간(분),종이_평일 평균 독서시간(분),종이_주말 평균 독서시간(분),전자_평일 평균 독서시간(분),전자_주말 평균 독서시간(분),오디오_평일 평균 독서시간(분),오디오_주말 평균 독서시간(분)
0,초등,남,서울,일주일에 한두 번,학업 때문에 책읽을시간이 없어서,기타,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",부모님께서 구입,집에 있는 책,"연예, 오락, 스포츠",동화/소설,그림책,0,0,0,없다,0,0,0,기타,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,초등,남,서울,매일,학업 때문에 책읽을시간이 없어서,어떤 책을 읽을지 몰라서,"서점, 도서관 등에서 책을 직접 보고",각종 기관의 추천도서,학교 밖 도서관 대여,부모님께서 구입,동화/소설,동화/소설,사회,0,0,0,있다,작은도서관,공공도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
2,초등,남,서울,일주일에 한두 번,기타,책을 읽고 이해하기가 어려워서,0,0,집에 있는 책,0,"역사, 위인전",사회,"연예, 오락, 스포츠",0,0,0,있다,어린이도서관,0,행사 참여,0,2017,0.0,0.0,0.0,50.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
3,초등,남,서울,일주일에 한두 번,학업 때문에 책읽을시간이 없어서,읽을 만한 책이 없어서,"드라마, 영화의 원작","인터넷의 책 소개, 광고",주위 사람에게 대여,학교 도서관 대여,동화/소설,"연예, 오락, 스포츠",취미,0,0,0,있다,작은도서관,어린이도서관,숙제에 필요한 자료조사,0,2017,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
4,초등,남,서울,일주일에 한두 번,기타,책읽기가 싫고 습관이 들지않아서,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",학교 도서관 대여,부모님께서 구입,"역사, 위인전","연예, 오락, 스포츠",동화/소설,0,0,0,있다,기타,작은도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,47.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
5,초등,남,서울,매일,기타,0,"서점, 도서관 등에서 책을 직접 보고",기타,직접 구입,학교 도서관 대여,동화/소설,"철학, 논리",동화/소설,0,0,0,없다,0,0,0,집에서 멀다,2017,0.0,0.0,0.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
6,초등,남,서울,매일,어떤 책을 읽을지 몰라서,기타,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",직접 구입,구입하지 않고 서점에서 독서,과학,종교,"연예, 오락, 스포츠",0,0,0,있다,어린이도서관,0,기타,0,2017,0.0,0.0,0.0,60.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
7,초등,남,서울,무응답,부모님이 책읽는 것을 공부라고 생각하지 않으셔서,책읽기가 싫고 습관이 들지않아서,"유명인, 전문가 추천","가족, 선생님, 친구 추천",직접 구입,구입하지 않고 서점에서 독서,"연예, 오락, 스포츠",취미,사회,0,0,0,없다,0,0,0,기타,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,초등,남,서울,일주일에 한두 번,기타,책읽기가 싫고 습관이 들지않아서,"서점, 도서관 등에서 책을 직접 보고",0,도서 대여점에서 대여,학교 도서관 대여,기타,0,0,0,0,0,있다,공공도서관,0,독서 및 도서 대출,0,2017,0.0,0.0,0.0,45.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
9,초등,남,서울,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,독서가 필요하다고 생각하지 않아서,"인터넷의 책 소개, 광고","서점, 도서관 등에서 책을 직접 보고",부모님께서 구입,주위 사람에게 대여,"연예, 오락, 스포츠",취미,0,0,0,0,없다,0,0,0,기타,2017,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,초등,남,서울,일주일에 한두 번,기타,"휴대전화,인터넷,텔레비전,게임 등을 이용해서",기타,"서점, 도서관 등에서 책을 직접 보고",집에 있는 책,학교 도서관 대여,그림책,사회,동화/소설,0,0,0,있다,기타,어린이도서관,기타,0,2017,0.0,0.0,0.0,70.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
11,초등,남,서울,일주일에 한두 번,책읽기가 싫고 습관이 들지않아서,책을 읽고 이해하기가 어려워서,"서점, 도서관 등에서 책을 직접 보고","가족, 선생님, 친구 추천",직접 구입,집에 있는 책,"연예, 오락, 스포츠",사회,동화/소설,0,0,0,있다,공공도서관,작은도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
12,초등,남,서울,일주일에 한두 번,어떤 책을 읽을지 몰라서,책을 빌릴 곳이 없어서,"가족, 선생님, 친구 추천","유명인, 전문가 추천",집에 있는 책,0,취미,기타,그림책,0,0,0,있다,공공도서관,어린이도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,초등,남,서울,매일,학업 때문에 책읽을시간이 없어서,0,"가족, 선생님, 친구 추천","서점, 도서관 등에서 책을 직접 보고",구입하지 않고 서점에서 독서,집에 있는 책,동화/소설,동화/소설,"역사, 위인전",0,0,0,있다,작은도서관,공공도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
14,초등,남,서울,매일,학업 때문에 책읽을시간이 없어서,책읽기가 싫고 습관이 들지않아서,"서점, 도서관 등에서 책을 직접 보고","신문이나 잡지의 책 소개, 광고",학교 밖 도서관 대여,0,"연예, 오락, 스포츠","철학, 논리",과학,0,0,0,있다,작은도서관,어린이도서관,숙제에 필요한 자료조사,0,2017,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
15,초등,남,서울,일주일에 한두 번,학업 때문에 책읽을시간이 없어서,"휴대전화,인터넷,텔레비전,게임 등을 이용해서","서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",학교 도서관 대여,0,"역사, 위인전","연예, 오락, 스포츠",동화/소설,0,0,0,없다,0,0,0,기타,2017,0.0,0.0,0.0,120.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
16,초등,남,서울,매일,학업 때문에 책읽을시간이 없어서,읽을 만한 책이 없어서,"가족, 선생님, 친구 추천",베스트셀러,학교 도서관 대여,주위 사람에게 대여,동화/소설,과학,"철학, 논리",0,0,0,있다,작은도서관,공공도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,60.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
17,초등,남,서울,매일,기타,0,"서점, 도서관 등에서 책을 직접 보고",베스트셀러,구입하지 않고 서점에서 독서,0,사회,과학,종교,0,0,0,있다,공공도서관,어린이도서관,독서 및 도서 대출,0,2017,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
18,초등,남,서울,매일,학업 때문에 책읽을시간이 없어서,0,각종 기관의 추천도서,베스트셀러,집에 있는 책,부모님께서 구입,동화/소설,기타,사회,0,0,0,없다,0,0,0,집에서 멀다,2017,0.0,0.0,0.0,120.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
