,번호,성별,지역,독서빈도,선호도,종이책 독서량,전자책 독서량,오디오북 독서량,도서 선택 시 이용정보1,도서 선택 시 이용정보2,도서 입수경로1,도서 입수경로2,초등 선호분야1,초등 선호분야2,초등 선호분야3,중고등 선호분야1,중고등 선호분야2,중고등 선호분야3,학교 밖 도서관 이용 여부,학교 밖 주이용 도서관1,학교 밖 주이용 도서관2,월 이용횟수,연 이용횟수,이용 목적,비이용 이유,코로나 이후 종이책 독서 증감,코로나 이후 전자책 독서 증감,코로나 이후 웹소설 독서 증감,코로나 이후 오디오북 독서 증감,코로나 이후 독서량,코로나 이후 도서관 방문,코로나 이후 전자도서관 이용
0,1,남,대전,몇 달에 한번,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,주로 학교도서관을 이용한다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
1,2,여,대전,일주일에 한두 번,약간 좋아한다,10,2,0,"가족, 선생님, 친구 추천","유명인, 전문가 추천",학교 도서관,집에 있는 책,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",3,있다,공공도서관,작은도서관,-1,6,독서 및 도서 대출,-1,변함 없음,매우 증가,매우 증가,변함 없음,9,변함 없음,변함 없음
2,3,여,대전,몇 달에 한번,약간 좋아한다,4,0,0,"서점, 도서관 등에서 책을 직접 보고",기타,직접 구입,학교 밖 도서관,-1,-1,-1,13,소설,14,없다,-1,-1,-1,-1,-1,주로 학교도서관을 이용한다,매우 감소,변함 없음,변함 없음,변함 없음,매우 감소,변함 없음,약간 감소
3,4,남,대전,전혀 읽지 않음,약간 싫어한다,2,0,0,"가족, 선생님, 친구 추천","드라마, 영화의 원작",학교 도서관,-1,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",-1,없다,-1,-1,-1,-1,-1,바빠서 이용할 시간이 없다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
4,5,남,대전,전혀 읽지 않음,보통이다,1,0,0,"가족, 선생님, 친구 추천","인터넷의 책 소개, 광고",학교 도서관,집에 있는 책,-1,-1,-1,10,소설,12,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
5,6,여,대전,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,책을 읽지 않는다,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음,변함 없음
6,7,여,대전,매일,약간 좋아한다,25,2,0,"서점, 도서관 등에서 책을 직접 보고","인터넷의 책 소개, 광고",집에 있는 책,부모님이 사다 주신다,-1,-1,-1,2,"예술, 문화",7,있다,공공도서관,-1,-1,3,독서 및 도서 대출,-1,약간 증가,변함 없음,매우 증가,변함 없음,약간 증가,매우 감소,변함 없음
7,8,남,대전,전혀 읽지 않음,매우 싫어한다,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 사서 읽는다,변함 없음,변함 없음,변함 없음,약간 감소,변함 없음,변함 없음,변함 없음
8,9,남,대전,전혀 읽지 않음,보통이다,0,1,0,"드라마, 영화의 원작","유튜브, 책방송 팟캐스트의 책 소개",집에 있는 책,선물,-1,-1,-1,2,"예술, 문화",12,없다,-1,-1,-1,-1,-1,읽고 싶은 책은 사서 읽는다,매우 감소,매우 감소,매우 감소,매우 감소,약간 감소,매우 감소,매우 감소
9,10,여,대전,몇 달에 한번,보통이다,0,5,0,베스트셀러,"가족, 선생님, 친구 추천",주위 사람에게 대여,집에 있는 책,-1,-1,-1,2,"연예, 오락, 스포츠, 취미, 여행 ",13,있다,공공도서관,어린이도서관,-1,3,시험 공부,-1,매우 감소,약간 증가,약간 증가,매우 감소,약간 감소,변함 없음,변함 없음
